resource_group	component_id	source_type	species	region	modality	sample_scope	local_status	recommended_tier	integration_role	acquisition_note	source_url
human_dentate_core_construction	primary_core_genomewide_symbol_pseudobulk	local_analysis	Homo sapiens;Mus musculus	dentate_gyrus;hippocampus;cerebellum	full_matrix_same_symbol_pseudobulk	8 primary core datasets with full-matrix expression; 33,939 target symbols; 628,339 pseudobulk rows	full_matrix_expression_complete;coverage_complete;statistics_complete;shared_hits_complete;branch_specific_complete;plot_complete;mechanism_triage_complete;cross_screen_consensus_complete	strict_core_full_matrix_symbol_discovery	full-matrix same-symbol discovery and consensus mechanism shortlist	Use as current broadest gene-level evidence layer; next step is curated ortholog-aware mixed-effect/pseudobulk DE and full-object export for GSE325391/GSE268609 if needed	Project/results/primary_core_genomewide_symbol_pseudobulk_analysis.md
nature_neuroscience_2025_mouse_dg_aging	GSE233363	GEO	Mus musculus	dentate_gyrus	scRNA_seq;spatial_transcriptomics	20 GEO samples: 3 scRNA-seq samples plus young/middle-age/old spatial transcriptomics samples	source_listing_saved;not_downloaded	core_validation_after_human_dentate	mouse DG aging, neurogenic-lineage maturation, niche inflammation, and spatial validation	use as optional validation when moving beyond the built human bridge	https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE233363
cell_reports_2025_human_dg_spatial_lifespan	spatial_DG_lifespan	Zenodo;local_literature_pdf	Homo sapiens	dentate_gyrus	Visium_spatial_transcriptomics	16 analyzed human donors across infant, teen, adult, and elderly age groups	article_pdf_present;zenodo_metadata_saved;data_not_downloaded	supporting_spatial_context	human DG spatial/lifespan validation for granule-cell maturation, ECM, and neuroinflammation modules	processed/raw SpatialExperiment archive is about 38 GB; use only after deciding to add a spatial layer	https://doi.org/10.5281/zenodo.10126687
nature_2022_human_hippocampal_immature_neurons	GSE198323	GEO	Homo sapiens	hippocampus	high_throughput_expression	6 GEO samples, Alzheimer's disease context	source_listing_saved;not_downloaded	supporting_disease_reference	AD-related human immature-neuron disease context; keep separate from healthy/reference analyses	download only after healthy/reference human imGC analysis is defined	https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE198323
human_dentate_core_construction	primary_core_consensus_candidate_dataset_validation	local_analysis	Homo sapiens;Mus musculus	dentate_gyrus;hippocampus;cerebellum	dataset_aware_consensus_validation	24 consensus candidates; 1,608 dataset/sample/gene branch-delta rows	dataset_deltas_complete;validation_summary_complete;heatmap_complete	strict_core_dataset_aware_mechanism_validation	dataset-aware robustness validation for cross-screen mechanism candidates	Use as current strongest mechanism shortlist; prioritize GABRA2/GPM6A/KCNK1/NFIA/NFIB/RFX3 and 3-of-4 robust candidates for manuscript figure and ortholog/mixed-effect validation	Project/results/primary_core_consensus_candidate_dataset_validation.md
orthology_reference	MGI_HOM_MouseHumanSequence	MGI	Homo sapiens;Mus musculus	genome_reference	orthology_homology_report	46,522 rows; 20,181 human-mouse homology classes; 17,611 one-to-one pairs	report_downloaded	strict_ortholog_mapping_reference	official human-mouse homology reference for conservative ortholog filtering	Use to constrain same-symbol screens and to plan the next mouse-symbol-aware non-identical one-to-one ortholog extraction	External_Data/Orthology/HOM_MouseHumanSequence.rpt
human_dentate_core_construction	primary_core_mgi_ortholog_meta_model	local_analysis	Homo sapiens;Mus musculus	dentate_gyrus;hippocampus;cerebellum	MGI_filtered_ortholog_meta_model	16,245 strict same-symbol one-to-one pairs; 241,690 unit deltas; 1,304 shared hits; 36 mechanism hits	mgi_report_downloaded;ortholog_map_complete;unit_deltas_complete;branch_summary_complete;gene_summary_complete;shared_hits_complete;mechanism_hits_complete;plot_complete	strict_core_ortholog_meta_model	conservative ortholog-aware dataset-level meta-model for selected-feature and full-matrix pseudobulk screens	Use as current strongest ortholog-aware evidence layer; prioritize dataset-robust consensus genes plus PPP3CA/CACNA2D1/KCNJ6/GABRB3/GRIN2B/KCNJ3/KCND2/STXBP5L/ROBO2	Project/results/primary_core_mgi_ortholog_meta_model.md
human_dentate_core_construction	primary_core_mgi_ortholog_expanded_meta_model	local_analysis	Homo sapiens;Mus musculus	dentate_gyrus;hippocampus;cerebellum	expanded_MGI_ortholog_meta_model	17,611 one-to-one pairs; 508,917 full-matrix expression rows; 252,469 unit deltas; 1,370 shared hits; 64 non-identical-symbol shared hits; 36 mechanism hits	full_matrix_ortholog_expression_complete;statistics_complete;nonidentical_hits_complete;expanded_meta_model_complete;mechanism_hits_complete;plot_complete	strict_core_expanded_ortholog_rank_model	complete rank-based MGI one-to-one ortholog screen including non-identical mouse/human symbols	Use as the complete ortholog-aware rank evidence layer feeding the formal rank-meta validation	Project/results/primary_core_mgi_ortholog_expanded_meta_model.md
human_dentate_core_construction	primary_core_mgi_ortholog_formal_rank_model	local_analysis	Homo sapiens;Mus musculus	dentate_gyrus;hippocampus;cerebellum	formal_MGI_ortholog_rank_meta_validation	17,611 one-to-one pairs; 116,013 dataset-level deltas; 36,303 branch tests; 1,370 formal shared hits; 158 both-screen formal shared hits; 36 mechanism hits	dataset_deltas_complete;branch_tests_complete;gene_summary_complete;shared_hits_complete;mechanism_models_complete;plot_complete	strict_core_formal_ortholog_rank_validation	current formal dataset-level rank-meta validation of expanded MGI one-to-one ortholog screen	Use as the current strongest statistical evidence layer for manuscript mechanism claims; six-gene consensus remains safest seed set	Project/results/primary_core_mgi_ortholog_formal_rank_model.md
human_dentate_core_construction	primary_core_manuscript_candidate_tiers	local_analysis	Homo sapiens;Mus musculus	dentate_gyrus;hippocampus;cerebellum	manuscript_candidate_tier_packet	66 tiered candidate genes from formal rank-meta validation; 6 Tier 1; 9 Tier 2; 30 exploratory non-identical orthologs	tier_packet_complete;manuscript_summary_complete	manuscript_candidate_packet	concise manuscript-facing candidate tiers derived from the formal MGI ortholog rank model	Use for Results drafting and figure planning; central claims should focus on Tier 1 and Tier 2	Project/results/primary_core_manuscript_candidate_tiers.md
human_dentate_core_construction	primary_core_mechanism_axis_model	local_analysis	Homo sapiens;Mus musculus	dentate_gyrus;hippocampus;cerebellum	mechanism_axis_model	66 tiered candidate genes organized into 5 mechanism axes; 36 curated Tier 1-4 genes; 30 exploratory non-identical orthologs	gene_axis_table_complete;axis_summary_complete;branch_summary_complete;plot_complete;report_complete	manuscript_mechanism_model	mechanism-axis interpretation of formal candidate tiers for paper argument and figure planning	Use as the current biological model layer: regulatory control, neurite/cytoskeleton morphogenesis, axon guidance/adhesion, and synaptic/excitability maturation	Project/results/primary_core_mechanism_axis_model.md
human_dentate_core_construction	primary_core_granule_specificity_named_comparators	local_analysis	Homo sapiens;Mus musculus	dentate_gyrus;hippocampus;cerebellum	named_comparator_module_specificity	Tier 1-4 mechanism axes tested in GSE104323 dentate/pyramidal and GSE122357 granule/Purkinje labels; 192 scored group-axis units; 4 axis summaries	units_complete;axis_summary_complete;gene_coverage_complete;plot_complete;report_complete	named_comparator_specificity_audit	first explicit test of whether shared granule-cell mechanism axes are unique versus pyramidal and Purkinje comparators	Use to temper manuscript claim: axes are shared/convergent but not uniquely granule-specific in first-pass named-comparator test	Project/results/primary_core_granule_specificity_named_comparators.md
human_dentate_core_construction	primary_core_niche_circuit_module_model	local_analysis	Homo sapiens;Mus musculus	dentate_gyrus;hippocampus;cerebellum	niche_fate_vs_circuit_module_model	92 genes across 5 hypothesis modules; formal-core MGI rank model plus GSE104323/GSE122357 named-comparator scoring; 240 comparator units	gene_sets_complete;formal_gene_scores_complete;formal_summary_complete;named_comparator_units_complete;named_comparator_summary_complete;plot_complete;report_complete	manuscript_causal_model_layer	test of whether granule-cell similarity is better explained by shared niche/fate programs or convergent circuit/morphology programs	Use as current answer to niche/circuit constraint question; supports distinct upstream fate with convergent downstream circuit/morphology implementation	Project/results/primary_core_niche_circuit_module_model.md
human_dentate_core_construction	primary_core_transcriptomic_configuration_model	local_analysis	Homo sapiens;Mus musculus	dentate_gyrus;hippocampus;cerebellum	transcriptomic_configuration_module_balance	48 local group-level configuration units from GSE104323/GSE122357; 4 named granule-versus-comparator contrasts	units_complete;role_summary_complete;contrast_summary_complete;plot_complete;report_complete	manuscript_configuration_model_layer	module-balance test of the transcriptomic assembly-plan hypothesis	Use as current evidence that granule morphology may be encoded by module configuration rather than unique pathways; positive in 4/4 named contrasts but small-n Wilcoxon p=0.0625	Project/results/primary_core_transcriptomic_configuration_model.md
human_dentate_core_construction	primary_core_transcriptomic_configuration_primary_validation	local_analysis	Homo sapiens;Mus musculus	dentate_gyrus;hippocampus;cerebellum	primary_core_configuration_validation	210 configuration class units across 10 datasets; 63 candidate-background contrasts across 7 datasets; full MGI and selected-feature expression layers	units_complete;contrasts_complete;summary_complete;coverage_complete;plot_complete;report_complete	manuscript_configuration_validation	broader primary-core validation of the transcriptomic module-balance assembly-plan hypothesis	Use as stronger broad validation that candidate granule classes carry higher configuration scores than local backgrounds; 52/63 positive, median delta 0.417, Wilcoxon p=4.89e-08	Project/results/primary_core_transcriptomic_configuration_primary_validation.md
human_dentate_core_construction	primary_core_configuration_driver_audit	local_analysis	Homo sapiens;Mus musculus	dentate_gyrus;hippocampus;cerebellum	configuration_driver_decomposition	67 total configuration contrasts; 63 primary candidate-background contrasts; 4 local named-comparator contrasts; 504 module-delta rows; 92 gene-priority rows	contrasts_complete;module_deltas_complete;summary_complete;gene_priorities_complete;plot_complete;report_complete	manuscript_claim_audit	decomposition of transcriptomic configuration evidence into downstream construction balance versus regional fate polarity	Use to phrase the configuration claim carefully: evidence is strong but identity-coupled; downstream construction balance is selective rather than a pure morphology-only code	Project/results/primary_core_configuration_driver_audit.md
human_dentate_core_construction	manuscript_planning_packet	local_analysis	Homo sapiens;Mus musculus	dentate_gyrus;hippocampus;cerebellum	manuscript_planning	Current strict-core synthesis; title options; central claim; abstract draft; result spine; figure plan; claim/evidence/caveat table	packet_complete;claim_table_complete;figure_plan_complete	manuscript_packaging	current drafting scaffold for analysis paper or review	Use as next-stage manuscript scaffold; claim strength should follow caveat table	Project/results/manuscript_planning_packet.md
human_dentate_core_construction	specific_aims_completion_audit	local_analysis	Homo sapiens;Mus musculus	dentate_gyrus;hippocampus;cerebellum	aims_completion_audit	Aim-by-aim completion map against Project/specific_aims_granule_cell_convergence.md	audit_complete;all_aims_first_pass_complete	manuscript_project_management	status audit for original three-aim design	Use to guide manuscript figure assembly; optional upgrades are pseudotime, spatial sender-receiver analysis, and morphology/connectomics/activity validation	Project/results/specific_aims_completion_audit.md
human_dentate_core_construction	primary_core_aim2_niche_pathway_model	local_analysis	Homo sapiens;Mus musculus	dentate_gyrus;hippocampus;cerebellum	Aim2_pathway_readiness_and_ligand_receptor_audit	9 pathway modules; 132 pathway genes; 23 ligand-receptor pairs; 1,878 pathway units; 566 pathway contrasts; 252 signature contrasts; 285 LR contrasts	pathway_gene_sets_complete;pathway_units_complete;pathway_contrasts_complete;signature_contrasts_complete;ligand_receptor_pairs_complete;plot_complete;report_complete	specific_aim_2_completion_layer	first computable test of TGF-beta2/BDNF/SMAD-MAPK and related niche pathways across primary core	Use to finish Aim 2 at pathway-readiness level; key result is context-dependent niche signaling with dentate TGF/BDNF enrichment and cerebellar SHH enrichment, not simple cerebellar-biased TGF/BDNF stop signaling	Project/results/primary_core_aim2_niche_pathway_model.md
human_dentate_core_construction	primary_core_aim3_sparse_coding_model	local_analysis	Homo sapiens;Mus musculus	dentate_gyrus;hippocampus;cerebellum	Aim3_sparse_expansion_coding_model	450 parameter-grid simulations; 7 named architecture summaries; 4 transcriptomic parameter mappings	parameter_grid_complete;architecture_summary_complete;transcriptomic_mapping_complete;plot_complete;report_complete	specific_aim_3_completion_layer	conceptual computational test linking sparse expansion architecture to pattern separation and transcriptomic construction modules	Use to finish Aim 3 as a computational validation layer; raw score favors dense expansion but resource-constrained nontrivial expansion favors sparse granule-like designs	Project/results/primary_core_aim3_sparse_coding_model.md
human_dentate_core_construction	manuscript_figure_assembly	local_analysis	Homo sapiens;Mus musculus	dentate_gyrus;hippocampus;cerebellum	manuscript_figure_assembly	6 composite manuscript figures; PNG and PDF outputs; figure manifest and assembly report; Fig5 revised after full pseudotime/diffusion analysis; Fig6 integrated working model added	figures_complete;trajectory_revision_complete;integrated_working_model_complete;manifest_complete;report_complete	manuscript_packaging	revised manuscript figure assembly after Aim 1-3 completion, primary-core trajectory refinement, and integrated working-model synthesis	Use as the current figure packet for manuscript drafting; Fig5 now includes stage-windowed pseudotime logic and Fig6 integrates Fig1/2/4/5 flow charts into one working model; final journal sizing and typography still need polish	Project/results/manuscript_figures/manuscript_figure_assembly.md
human_dentate_core_construction	primary_core_aim2b_stage_resolved_tgf_bdnf	local_analysis	Mus musculus	dentate_gyrus;cerebellum	stage_resolved_pathway_readiness	GSE104323 adult dentate lineage; GSE292261 postnatal dentate; GSE122357 postnatal cerebellar; GSE214309 adult dentate activity/maturation	gene_units_complete;pathway_units_complete;signature_units_complete;transition_table_complete;plot_complete;report_complete	specific_aim_2_stage_refinement	stage-aware audit of historical TGF-beta/BDNF maturation/stop mechanism	Use to refine Aim 2: TGF-beta/BDNF behaves as stage/state-sensitive maturation readiness, not a simple region-wide stop signal	Project/results/primary_core_aim2b_stage_tgf_bdnf.md
human_dentate_core_construction	cerebellar_conditioned_medium_secretome_candidates	local_analysis	Mus musculus	cerebellum	secreted_ligand_candidate_screen	68 curated secreted/ligand candidates scored across GSE122357, GSE165657, and GSE312658 cerebellar candidate granule expression	secretome_units_complete;candidate_contrasts_complete;ranked_candidates_complete;plot_complete;report_complete	specific_aim_2_conditioned_medium_followup	modern sequencing inference of possible cerebellar conditioned-medium anti-proliferative/differentiation factors beyond TGF-beta2/BDNF	Use as validation-prioritization list for proteomics, ELISA/Luminex, neutralization, or recombinant-factor rescue; not proof of secreted protein bioactivity	Project/results/cerebellar_conditioned_medium_secretome_candidates.md
human_dentate_core_construction	primary_core_2005_endpoint_pseudotime_audit	local_analysis	Mus musculus	dentate_gyrus;cerebellum	stage_and_module_pseudotime	2005 paper endpoint RNA modules scored across GSE104323, GSE292261, GSE122357, and GSE214309 ordered axes	gene_units_complete;module_units_complete;trajectory_scores_complete;correlations_complete;plot_complete;report_complete	specific_aim_2_paper_endpoint_trajectory_layer	stage-dependence audit for BrdU/proliferation, p21/p27, differentiation, SMAD, ERK, apoptosis/survival endpoints from the 2005 paper	Use to argue that the paper mechanism is trajectory-dependent rather than static; protein/phosphorylation/apoptosis assays remain validation needs	Project/results/primary_core_2005_endpoint_pseudotime_audit.md
human_dentate_core_construction	primary_core_2005_endpoint_graph_pseudotime	local_analysis	Mus musculus	dentate_gyrus;cerebellum	cell_level_graph_pseudotime	19,192 cells from GSE104323 dentate lineage, GSE292261 postnatal dentate candidates, and GSE122357 cerebellar candidates	cell_scores_complete;group_summary_complete;bin_summary_complete;module_correlations_complete;plot_complete;report_complete	specific_aim_2_cell_trajectory_layer	first cell-level graph pseudotime overlay for 2005 paper endpoint modules	Use as current first-pass trajectory evidence; next upgrade should use full-transcriptome highly variable genes and diffusion/PAGA/Monocle-style modeling	Project/results/primary_core_2005_endpoint_graph_pseudotime.md
human_dentate_core_construction	primary_core_full_transcriptome_diffusion	local_analysis	Homo sapiens;Mus musculus	dentate_gyrus;hippocampus;cerebellum	full_transcriptome_diffusion_pseudotime	10 strict primary datasets; 56,892 cells/nuclei in trajectory tables; 8 full/full-DG-subset datasets plus 2 selected-feature bridge datasets	cell_scores_complete;dataset_summary_complete;group_summary_complete;module_correlations_complete;fig_impact_complete;plot_complete;report_complete	specific_aim_2_full_trajectory_refinement	HVG diffusion/pseudotime upgrade across the strict primary core with Fig1-5 impact audit	Use to revise the model as stage-windowed: Fig1-4 are refined rather than overturned, while Fig5 should gain an explicit pseudotime layer; GSE325391 and GSE268609 remain selected-feature bridge trajectories until full sparse objects are exported	Project/results/primary_core_full_transcriptome_diffusion.md
secondary_phys_morph_validation	secondary_phys_morph_validation_layer	local_analysis	Homo sapiens;Mus musculus;Rattus norvegicus;other	dentate_gyrus;hippocampus;cerebellum;cortex;thalamus	physiology_morphology_resource_integration	Allen Cell Types API probe; DANDI 000003/000165 metadata; NeuroMorpho dentate/cerebellar granule probes; Aim 3 parameter map	resource_table_complete;parameter_map_complete;allen_probe_complete;neuromorpho_probe_complete;validation_plan_complete	supporting_phys_morph_validation_layer	secondary validation layer for dendrite/input/activity parameters in the sparse-expansion model	Use to plan direct morphology fitting, dentate activity/sparsity extraction, and Allen ephys comparator calibration; keep outside the strict 10-dataset transcriptomic core	Project/results/secondary_phys_morph_validation_plan.md
secondary_phys_morph_validation	Allen_Cell_Types_ephys	Allen_Institute	Homo sapiens;Mus musculus	cortex;thalamus	whole_cell_current_clamp_electrophysiology;computed_ephys_features;NWB	2333 Cell Types API rows in local probe; dentate/cerebellar structure probes returned 0 matches	API_probe_cached	supporting_ephys_comparator_calibration	intrinsic electrophysiology calibration and comparator-cell feature ranges	Use for excitability module calibration, not as direct dentate/cerebellar granule-cell evidence	https://celltypes.brain-map.org/
secondary_phys_morph_validation	DANDI_000003	DANDI	Mus musculus	hippocampus;dentate_gyrus_context	extracellular_electrophysiology;behavior;NWB	101 NWB files; 16 subjects; Units/LFP/Position/ElectricalSeries variables	metadata_cached	primary_activity_validation_for_DG	dentate granule/mossy-cell activity and behavior-linked physiology	Use to derive DG firing sparsity, active fraction, spatial coding, and pattern-separation proxies	https://dandiarchive.org/dandiset/000003/0.260218.2052
secondary_phys_morph_validation	DANDI_000165	DANDI	Mus musculus	DG;CA3;CA1	extracellular_electrophysiology;behavior;NWB	572 NWB files; 64 subjects; Units/LFP/Position/SpatialSeries variables	metadata_cached	supporting_network_activity_validation	DG/CA3/CA1 network-state physiology context	Use as supporting hippocampal network physiology, not a pure granule-cell primary resource	https://dandiarchive.org/dandiset/000165/0.211118.1526
secondary_phys_morph_validation	NeuroMorpho_DG_granule_morphometry	NeuroMorpho.Org	Homo sapiens;Mus musculus;Rattus norvegicus;other	dentate_gyrus	neuron_reconstruction;morphometry	9672 dentate granule matches in local API probe; mouse 7649; rat 1532; human 77	API_probe_cached	primary_morphology_validation_for_DG	direct dentate granule dendrite/stem/branch morphometry	Use to estimate DG dendrite stem count, branch count, bifurcations, length, surface, and volume after filtering	https://neuromorpho.org/apiReference.html
secondary_phys_morph_validation	NeuroMorpho_cerebellar_granule_morphometry	NeuroMorpho.Org	Homo sapiens;other;limited_mouse_rat_under_strict_query	cerebellum;cerebellar_cortex;granular_layer	neuron_reconstruction;morphometry	62 cerebellar granule matches in local API probe; human 5; strict mouse/rat filters 0	API_probe_cached	supporting_morphology_validation_for_cerebellum	direct but small cerebellar granule dendrite/stem/branch morphometry	Use cautiously for cerebellar morphology validation because the strict query is small and species-heterogeneous	https://neuromorpho.org/apiReference.html
secondary_phys_morph_validation	neuromorpho_granule_morphometry_validation	local_analysis	Homo sapiens;Mus musculus;Rattus norvegicus;other	dentate_gyrus;cerebellum	neuron_reconstruction;morphometry_validation	558 dentate granule reconstructions plus all 62 cerebellar granule reconstructions from the strict query	morphometry_sample_built;summary_complete;comparison_complete;aim3_priors_complete;plot_complete	first_direct_morphology_validation_for_Aim3	empirical morphology validation for branch/stem/length parameters in sparse-expansion model	Use to refine the morphology claim: similar median branch counts but different primary stem number and dendritic-field scale; next refine archive/species/condition filters for manuscript-grade statistics	Project/results/neuromorpho_granule_morphometry_validation.md
secondary_phys_morph_validation	dandi_000003_activity_sparsity_pilot	local_analysis;DANDI	Mus musculus	hippocampus;dentate_gyrus_context	extracellular_electrophysiology;behavior;NWB	101-asset manifest; 2.56 TB archive; smallest 4.66 GB session downloaded; 23 units extracted including 3 source-labeled granule cells	manifest_complete;pilot_nwb_downloaded;unit_sparsity_extracted;celltype_summary_complete;behavior_state_summary_complete;plot_complete	first_direct_DG_activity_validation_for_Aim3	pilot activity/sparsity validation for dentate granule-cell labeled units	Use to show feasibility and calibrate output-active-fraction interpretation; do not treat as final pattern-separation evidence until multi-session position/task analyses are built	Project/results/dandi_000003_activity_sparsity_pilot.md
secondary_phys_morph_validation	dandi_000003_spatial_pattern_pilot	local_analysis;DANDI	Mus musculus	hippocampus;dentate_gyrus_context	extracellular_electrophysiology;behavior;position;NWB	one downloaded 4.66 GB DANDI 000003 session; awake-moving position samples; 23 units including 3 source-labeled granule cells	position_summary_complete;spatial_unit_metrics_complete;celltype_summary_complete;population_vector_check_complete;plot_complete	first_position_linked_DG_spatial_validation_for_Aim3	pilot spatial coding and population-vector feasibility validation for dentate granule-cell labeled units	Use as first position-linked feasibility result; do not treat as final pattern-separation evidence until multi-session task/trajectory analyses are built	Project/results/dandi_000003_spatial_pattern_pilot.md
secondary_phys_morph_validation	dandi_000003_multisession_spatial_extension	local_analysis;DANDI	Mus musculus	hippocampus;dentate_gyrus_context	extracellular_electrophysiology;behavior;position;NWB	six downloaded DANDI 000003 sessions; 124 units including 26 source-labeled granule cells across six granule-containing sessions; reusable size-ranked and targeted download plans	multisession_script_complete;six_sessions_downloaded;six_sessions_analyzed;six_granule_label_sessions;spatial_unit_metrics_complete;population_vector_check_complete;summary_plot_complete;targeted_download_priority_complete	first_six_session_local_DG_spatial_validation_for_Aim3	six-session spatial coding and population-vector feasibility validation with direct dentate granule-cell evidence in all six analyzed sessions	Use as current DANDI spatial validation layer; do not treat as final pattern-separation evidence until task/trajectory analyses are built	Project/results/dandi_000003_multisession_spatial_extension.md
