node	accession	title	model_or_tissue	modality	perturbation_or_design	relevance_to_project	recommended_use	caveat	source_url
SHH	GSE260623	Germline ELP1 deficiency sensitizes cerebellar granule neuron progenitors to SHH medulloblastoma	mouse cerebellar GNP/SHH-medulloblastoma	bulk RNA-seq	Elp1 deficiency in GNP/SHH-medulloblastoma genetic model	high	Use as GNP susceptibility/proliferation perturbation linked to SHH medulloblastoma.	Cancer-predisposition context; useful for proliferation/fate, not final normal morphology.	https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE260623
SHH	GSE135463	Transcriptomic changes induced by Gsk-3 deletion in cerebellar progenitors	mouse cerebellar granule neuron progenitors	RNA-seq	Gsk-3 deletion in CGNPs	medium_high	Use as cerebellar progenitor proliferation/differentiation perturbation related to SHH-responsive CGNP biology.	Not direct SHH ligand/receptor perturbation; pathway is indirect.	https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE135463
SHH	GSE134091	Prdm16 regulation of Shh-Gli1-Hoxc4 signaling is required for GNP expansion and cerebellar behavior	mouse P3 cerebellum/GNP development	RNA-seq	Prdm16 conditional deletion	medium_high	Use as cerebellar GNP expansion perturbation tied to Shh-Gli1-Hoxc4 signaling.	Only two listed samples in GEO summary; likely underpowered alone.	https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE134091
SHH	GSE107252	Chronic Crebbp knockout in cerebellar granule neuron precursors [development]	mouse cerebellar granule neuron precursors/cerebellum	microarray	Math1/Atoh1-lineage Crebbp knockout at P7	medium_high	Use as developmental GNP perturbation bridging SHH-medulloblastoma, chromatin regulation, and Bdnf.	Not direct SHH perturbation; array-based.	https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE107252
SHH_Niche	GSE281480	Bulk RNA-seq of immunopanned astrocytes with Shh and Fgf treatment	mouse immunopanned astrocytes	bulk RNA-seq	SAG/SHH agonist, FGF2, FGF10 treatments	medium	Use as SHH-responsive astrocyte/niche signature, potentially relevant to cerebellar glial context.	Not granule lineage.	https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE281480
RBFOX3	GSE84786	RBFOX3/NeuN is required for hippocampal circuit balance and function	mouse hippocampus, dentate granule-cell phenotype reported	RNA-seq	Rbfox3 homozygous knockout versus wild type	high	Use as the most direct RBFOX3 perturbation support for hippocampal/dentate granule synaptic and plasticity consequences.	Only two RNA-seq samples in GEO; phenotype is strong but transcriptomic power is limited.	https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE84786
RBFOX3	GSE71916	Gene expression profiling of neurons with Rbfox1 and Rbfox3 knockdown and rescue with cytoplasmic or nuclear Rbfox1 isoform [RNA-seq]	mouse cultured hippocampal neurons	RNA-seq; splicing analysis	siRbfox1/Rbfox3 knockdown plus rescue with cytoplasmic or nuclear Rbfox1 isoforms	medium_high	Use as neuronal RNA-processing and synaptic-gene perturbation signature for RBFOX-family maturation modules.	Double knockdown and Rbfox1 rescue; not RBFOX3-specific and not granule-cell purified.	https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE71916
RBFOX3	GSE71974	Gene expression profiling of neurons with Rbfox1 and Rbfox3 knockdown	mouse cultured hippocampal neurons	exon-junction array	siRbfox1/Rbfox3 double knockdown	medium	Use as companion array dataset for RBFOX-family splicing/expression perturbation.	Double knockdown and cultured neurons; less direct than GSE84786 for dentate phenotypes.	https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE71974
HMGN2	GSE186384	Systematic exploration of dynamic splicing networks reveals conserved multi-stage regulators of neurogenesis [SPARseq]	high-throughput neurogenesis regulatory screen	SPAR-seq perturbation screen	multi-factor perturbation/screening context that includes HMGN2-associated query hits	low_indirect	Keep only as an exploratory screen to test whether HMGN2 perturbation affects neurogenesis-linked expression/splicing modules.	Not HMGN2-focused in GEO summary; requires target-level metadata extraction before use.	https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE186384
HMGN2	GSE80196	Multilayered control of alternative splicing regulatory networks by transcription factors (SPAR-Seq)	high-throughput alternative-splicing regulatory screen	SPAR-seq perturbation screen	systematic linking of trans-acting factors to endogenous RNA regulation events	low_indirect	Use only as a broad regulatory-screen resource if HMGN2-specific perturbation rows can be recovered.	Not neural granule-specific and not clearly HMGN2-focused from accession summary.	https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE80196
