table_id	file_name	title	submission_packet	evidence_tier	reviewer_priority	topic_group	recommended_use	manuscript_location	description	source_file	copied_file	file_size_bytes
Table S19	Table_S19_aim2_pathway_gene_sets.tsv	Pathway-readiness gene sets	Reader-facing primary supplementary tables	Primary result	1_read_first	Stage-window and signaling reinterpretation	Directly supports Figure 5 pathway, stage-window, conditioned-medium, and 2005-paper comparison analyses.	Figure 5a	Curated pathway/readiness gene sets used for TGF-beta/BDNF and niche analyses.	Project/results/primary_core_aim2_pathway_gene_sets.tsv	Project/manuscript/Supplementary tables/Table_S19_aim2_pathway_gene_sets.tsv	18208
Table S20	Table_S20_aim2_pathway_summary.tsv	Pathway-readiness summary	Reader-facing primary supplementary tables	Primary result	1_read_first	Stage-window and signaling reinterpretation	Directly supports Figure 5 pathway, stage-window, conditioned-medium, and 2005-paper comparison analyses.	Figure 5a	Branch-level pathway/readiness summary.	Project/results/primary_core_aim2_pathway_summary.tsv	Project/manuscript/Supplementary tables/Table_S20_aim2_pathway_summary.tsv	8810
Table S21	Table_S21_aim2_pathway_contrasts.tsv	Pathway-readiness contrasts	Reader-facing primary supplementary tables	Primary result	1_read_first	Stage-window and signaling reinterpretation	Directly supports Figure 5 pathway, stage-window, conditioned-medium, and 2005-paper comparison analyses.	Figure 5a	Candidate-background contrasts for pathway/readiness modules.	Project/results/primary_core_aim2_pathway_contrasts.tsv	Project/manuscript/Supplementary tables/Table_S21_aim2_pathway_contrasts.tsv	192500
Table S22	Table_S22_aim2_ligand_receptor_summary.tsv	Ligand-receptor readiness summary	Reader-facing primary supplementary tables	Primary result	1_read_first	Stage-window and signaling reinterpretation	Directly supports Figure 5 pathway, stage-window, conditioned-medium, and 2005-paper comparison analyses.	Figure 5a	Nondirectional ligand-receptor readiness summaries from the pathway-readiness analysis.	Project/results/primary_core_aim2_ligand_receptor_summary.tsv	Project/manuscript/Supplementary tables/Table_S22_aim2_ligand_receptor_summary.tsv	14214
Table S23	Table_S23_tgf_bdnf_stage_summary.tsv	Stage-resolved TGF-beta/BDNF summary	Reader-facing primary supplementary tables	Primary result	1_read_first	Stage-window and signaling reinterpretation	Directly supports Figure 5 pathway, stage-window, conditioned-medium, and 2005-paper comparison analyses.	Figure 5b	Stage-resolved TGF-beta/BDNF and related pathway summaries.	Project/results/primary_core_aim2b_stage_tgf_bdnf_summary.tsv	Project/manuscript/Supplementary tables/Table_S23_tgf_bdnf_stage_summary.tsv	6425
Table S24	Table_S24_tgf_bdnf_stage_transitions.tsv	Stage-resolved TGF-beta/BDNF transitions	Reader-facing primary supplementary tables	Primary result	1_read_first	Stage-window and signaling reinterpretation	Directly supports Figure 5 pathway, stage-window, conditioned-medium, and 2005-paper comparison analyses.	Figure 5b	Transition summaries for TGF-beta/BDNF-related stage effects.	Project/results/primary_core_aim2b_stage_tgf_bdnf_transitions.tsv	Project/manuscript/Supplementary tables/Table_S24_tgf_bdnf_stage_transitions.tsv	28049
Table S25	Table_S25_stage_window_branch_summary.tsv	Stage-window model branch summary	Reader-facing primary supplementary tables	Primary result	1_read_first	Stage-window and signaling reinterpretation	Directly supports Figure 5 pathway, stage-window, conditioned-medium, and 2005-paper comparison analyses.	Figure 5b	Branch summaries from the fitted stage-window model.	Project/results/aim2_stage_window_model_branch_summary.tsv	Project/manuscript/Supplementary tables/Table_S25_stage_window_branch_summary.tsv	1362
Table S26	Table_S26_stage_window_coefficients.tsv	Stage-window model coefficients	Reader-facing primary supplementary tables	Primary result	1_read_first	Stage-window and signaling reinterpretation	Directly supports Figure 5 pathway, stage-window, conditioned-medium, and 2005-paper comparison analyses.	Figure 5b	Regression coefficients for fitted stage-window models.	Project/results/aim2_stage_window_model_coefficients.tsv	Project/manuscript/Supplementary tables/Table_S26_stage_window_coefficients.tsv	5421
Table S27	Table_S27_conditioned_medium_secretome_candidates.tsv	Conditioned-medium secretome candidates	Reader-facing primary supplementary tables	Primary result	1_read_first	Stage-window and signaling reinterpretation	Directly supports Figure 5 pathway, stage-window, conditioned-medium, and 2005-paper comparison analyses.	Figure 5; Discussion	Prioritized non-TGF-beta/BDNF secretome candidates from cerebellar conditioned-medium analysis.	Project/results/cerebellar_conditioned_medium_secretome_ranked_candidates.tsv	Project/manuscript/Supplementary tables/Table_S27_conditioned_medium_secretome_candidates.tsv	23095
Table S28	Table_S28_paper_2005_support_revision.tsv	2005 paper support/revision table	Reader-facing primary supplementary tables	Primary result	1_read_first	Stage-window and signaling reinterpretation	Directly supports Figure 5 pathway, stage-window, conditioned-medium, and 2005-paper comparison analyses.	Figure 5; Discussion	How current sequencing analyses support, revise, or do not directly test the 2005 paper results.	Project/results/paper_2005_support_revision_table.tsv	Project/manuscript/Supplementary tables/Table_S28_paper_2005_support_revision.tsv	5672
Table S29	Table_S29_neuromorpho_summary.tsv	NeuroMorpho summary	Reader-facing primary supplementary tables	Primary result	1_read_first	Morphology, physiology and sparse-coding calibration	Directly supports Figure 5 morphology/activity validation and model calibration.	Figure 5c	Dendritic morphology summary for public dentate and cerebellar granule-cell reconstructions.	Project/results/neuromorpho_granule_morphometry_summary.tsv	Project/manuscript/Supplementary tables/Table_S29_neuromorpho_summary.tsv	10225
Table S30	Table_S30_neuromorpho_comparison.tsv	NeuroMorpho comparison	Reader-facing primary supplementary tables	Primary result	1_read_first	Morphology, physiology and sparse-coding calibration	Directly supports Figure 5 morphology/activity validation and model calibration.	Figure 5c	Comparison statistics for dentate versus cerebellar granule-cell morphometry.	Project/results/neuromorpho_granule_morphometry_comparison.tsv	Project/manuscript/Supplementary tables/Table_S30_neuromorpho_comparison.tsv	1661
Table S31	Table_S31_dandi_session_summary.tsv	DANDI multisession summary	Reader-facing primary supplementary tables	Primary result	1_read_first	Morphology, physiology and sparse-coding calibration	Directly supports Figure 5 morphology/activity validation and model calibration.	Figure 5c	Session-level DANDI dentate activity-validation summary.	Project/results/dandi_000003_multisession_session_summary.tsv	Project/manuscript/Supplementary tables/Table_S31_dandi_session_summary.tsv	2678
Table S32	Table_S32_dandi_unit_metrics.tsv	DANDI spatial unit metrics	Reader-facing primary supplementary tables	Primary result	1_read_first	Morphology, physiology and sparse-coding calibration	Directly supports Figure 5 morphology/activity validation and model calibration.	Figure 5c	Unit-level spatial information, sparsity, and firing metrics.	Project/results/dandi_000003_multisession_spatial_unit_metrics.tsv	Project/manuscript/Supplementary tables/Table_S32_dandi_unit_metrics.tsv	41469
Table S33	Table_S33_dandi_population_vector.tsv	DANDI population-vector separation	Reader-facing primary supplementary tables	Primary result	1_read_first	Morphology, physiology and sparse-coding calibration	Directly supports Figure 5 morphology/activity validation and model calibration.	Figure 5c	Population-vector near/far separation checks from DANDI dentate sessions.	Project/results/dandi_000003_multisession_population_vector_separation.tsv	Project/manuscript/Supplementary tables/Table_S33_dandi_population_vector.tsv	4222
Table S34	Table_S34_sparse_coding_architecture_summary.tsv	Sparse-coding architecture summary	Reader-facing primary supplementary tables	Primary result	1_read_first	Morphology, physiology and sparse-coding calibration	Directly supports Figure 5 morphology/activity validation and model calibration.	Figure 5c	Named architecture summaries from the sparse expansion-coding simulation.	Project/results/primary_core_aim3_sparse_coding_architecture_summary.tsv	Project/manuscript/Supplementary tables/Table_S34_sparse_coding_architecture_summary.tsv	2335
Table S35	Table_S35_sparse_coding_parameter_grid.tsv	Sparse-coding parameter grid	Reader-facing primary supplementary tables	Primary result	1_read_first	Morphology, physiology and sparse-coding calibration	Directly supports Figure 5 morphology/activity validation and model calibration.	Figure 5c	Full sparse expansion-coding simulation parameter grid.	Project/results/primary_core_aim3_sparse_coding_parameter_grid.tsv	Project/manuscript/Supplementary tables/Table_S35_sparse_coding_parameter_grid.tsv	136535
Table S36	Table_S36_empirical_calibration_architecture_summary.tsv	Empirical calibration architecture summary	Reader-facing primary supplementary tables	Primary result	1_read_first	Morphology, physiology and sparse-coding calibration	Directly supports Figure 5 morphology/activity validation and model calibration.	Figure 5c	Architecture-level empirical calibration against morphology/activity constraints.	Project/results/aim3_empirical_calibration_architecture_summary.tsv	Project/manuscript/Supplementary tables/Table_S36_empirical_calibration_architecture_summary.tsv	1336
Table S37	Table_S37_empirical_calibration_grid.tsv	Empirical calibration grid	Reader-facing primary supplementary tables	Primary result	1_read_first	Morphology, physiology and sparse-coding calibration	Directly supports Figure 5 morphology/activity validation and model calibration.	Figure 5c	Full empirical calibration grid for sparse-coding model fitting.	Project/results/aim3_empirical_calibration_grid.tsv	Project/manuscript/Supplementary tables/Table_S37_empirical_calibration_grid.tsv	272585
Table S38	Table_S38_sender_receiver_summary.tsv	Sender-receiver summary	Reader-facing primary supplementary tables	Primary result	1_read_first	Sender-receiver predictions	Directly supports Figure 6 ligand-receptor sender-receiver predictions.	Figure 6	Focused directional ligand-receptor sender-receiver summary.	Project/results/aim2_sender_receiver_lr_summary.tsv	Project/manuscript/Supplementary tables/Table_S38_sender_receiver_summary.tsv	44547
Table S39	Table_S39_sender_receiver_top_predictions.tsv	Sender-receiver top predictions	Reader-facing primary supplementary tables	Primary result	1_read_first	Sender-receiver predictions	Directly supports Figure 6 ligand-receptor sender-receiver predictions.	Figure 6	Top expression-supported sender-receiver ligand-receptor predictions.	Project/results/aim2_sender_receiver_lr_top_predictions.tsv	Project/manuscript/Supplementary tables/Table_S39_sender_receiver_top_predictions.tsv	96791
Table S40	Table_S40_sender_receiver_predictions.tsv.gz	Sender-receiver prediction units	Reader-facing primary supplementary tables	Primary result	1_read_first	Sender-receiver predictions	Directly supports Figure 6 ligand-receptor sender-receiver predictions.	Figure 6	Full expression-supported sender-receiver ligand-receptor prediction table.	Project/results/aim2_sender_receiver_lr_predictions.tsv.gz	Project/manuscript/Supplementary tables/Table_S40_sender_receiver_predictions.tsv.gz	203016
Table S41	Table_S41_stage_split_module_branch_summary.tsv	Stage-split module branch summary	Reader-facing supplementary controls	Supporting result	2_read_for_supplementary_figures	Stage split, granule specificity and developmental-origin controls	Supports Supplementary Figures S1-S4 and the argument against a recent common granule progenitor.	Supplementary Figure S1	Branch/stage module summaries for immature-versus-mature granule-cell comparison.	Project/results/primary_core_stage_split_granule_module_branch_summary.tsv	Project/manuscript/Supplementary tables/Table_S41_stage_split_module_branch_summary.tsv	8006
Table S42	Table_S42_stage_split_similarity.tsv	Stage-split similarity	Reader-facing supplementary controls	Supporting result	2_read_for_supplementary_figures	Stage split, granule specificity and developmental-origin controls	Supports Supplementary Figures S1-S4 and the argument against a recent common granule progenitor.	Supplementary Figure S1	Cross-branch similarity scores for immature and mature/maturing bins.	Project/results/primary_core_stage_split_granule_stage_similarity.tsv	Project/manuscript/Supplementary tables/Table_S42_stage_split_similarity.tsv	3992
Table S43	Table_S43_stage_split_transitions.tsv	Stage-split transitions	Reader-facing supplementary controls	Supporting result	2_read_for_supplementary_figures	Stage split, granule specificity and developmental-origin controls	Supports Supplementary Figures S1-S4 and the argument against a recent common granule progenitor.	Supplementary Figure S1	Mature-minus-immature similarity transition summary.	Project/results/primary_core_stage_split_granule_stage_transitions.tsv	Project/manuscript/Supplementary tables/Table_S43_stage_split_transitions.tsv	1486
Table S44	Table_S44_stage_split_group_calls.tsv	Stage-split group calls	Reader-facing supplementary controls	Supporting result	2_read_for_supplementary_figures	Stage split, granule specificity and developmental-origin controls	Supports Supplementary Figures S1-S4 and the argument against a recent common granule progenitor.	Supplementary Figure S1	Dataset/group stage calls used in the stage-split analysis.	Project/results/primary_core_stage_split_granule_group_calls.tsv	Project/manuscript/Supplementary tables/Table_S44_stage_split_group_calls.tsv	12969
Table S45	Table_S45_granule_special_top_candidates.tsv	Granule-special top candidates	Reader-facing supplementary controls	Supporting result	2_read_for_supplementary_figures	Stage split, granule specificity and developmental-origin controls	Supports Supplementary Figures S1-S4 and the argument against a recent common granule progenitor.	Supplementary Figure S2	Top granule-enriched candidates relative to named pyramidal and Purkinje comparators.	Project/results/primary_core_granule_special_gene_named_comparator_top_candidates.tsv	Project/manuscript/Supplementary tables/Table_S45_granule_special_top_candidates.tsv	3936
Table S46	Table_S46_granule_special_summary.tsv	Granule-special genome-wide summary	Reader-facing supplementary controls	Supporting result	2_read_for_supplementary_figures	Stage split, granule specificity and developmental-origin controls	Supports Supplementary Figures S1-S4 and the argument against a recent common granule progenitor.	Supplementary Figure S2	Genome-wide named-comparator screen summary for granule-special genes.	Project/results/primary_core_granule_special_gene_named_comparator_summary.tsv	Project/manuscript/Supplementary tables/Table_S46_granule_special_summary.tsv	7013269
Table S47	Table_S47_regional_origin_timing_state_summary.tsv	Regional-origin timing state summary	Reader-facing supplementary controls	Supporting result	2_read_for_supplementary_figures	Stage split, granule specificity and developmental-origin controls	Supports Supplementary Figures S1-S4 and the argument against a recent common granule progenitor.	Supplementary Figure S3	Ordered state-level summary for regional-origin/shared-toolkit timing analysis.	Project/results/regional_origin_shared_toolkit_timing_state_summary.tsv	Project/manuscript/Supplementary tables/Table_S47_regional_origin_timing_state_summary.tsv	4576
Table S48	Table_S48_regional_origin_timing_metrics.tsv	Regional-origin timing metrics	Reader-facing supplementary controls	Supporting result	2_read_for_supplementary_figures	Stage split, granule specificity and developmental-origin controls	Supports Supplementary Figures S1-S4 and the argument against a recent common granule progenitor.	Supplementary Figure S3	Early-to-late metric shifts for regional-origin/shared-toolkit timing analysis.	Project/results/regional_origin_shared_toolkit_timing_metrics.tsv	Project/manuscript/Supplementary tables/Table_S48_regional_origin_timing_metrics.tsv	2999
Table S49	Table_S49_regional_origin_timing_gene_units.tsv	Regional-origin timing gene units	Reader-facing supplementary controls	Supporting result	2_read_for_supplementary_figures	Stage split, granule specificity and developmental-origin controls	Supports Supplementary Figures S1-S4 and the argument against a recent common granule progenitor.	Supplementary Figure S3	Gene-level timing units for `NFIA`, `NEUROD1`, `RBFOX3`, and `HMGN2`.	Project/results/regional_origin_shared_toolkit_timing_gene_units.tsv	Project/manuscript/Supplementary tables/Table_S49_regional_origin_timing_gene_units.tsv	31103
Table S50	Table_S50_developmental_origin_gene_sets.tsv	Developmental-origin gene sets	Reader-facing supplementary controls	Supporting result	2_read_for_supplementary_figures	Stage split, granule specificity and developmental-origin controls	Supports Supplementary Figures S1-S4 and the argument against a recent common granule progenitor.	Supplementary Figure S4	Curated marker modules for deep origin, regional divergence, and later toolkit reuse.	Project/results/developmental_origin_divergence_audit_gene_sets.tsv	Project/manuscript/Supplementary tables/Table_S50_developmental_origin_gene_sets.tsv	17034
Table S51	Table_S51_developmental_origin_state_summary.tsv	Developmental-origin state summary	Reader-facing supplementary controls	Supporting result	2_read_for_supplementary_figures	Stage split, granule specificity and developmental-origin controls	Supports Supplementary Figures S1-S4 and the argument against a recent common granule progenitor.	Supplementary Figure S4	Ordered state-level module ranks for the developmental-origin audit.	Project/results/developmental_origin_divergence_audit_state_summary.tsv	Project/manuscript/Supplementary tables/Table_S51_developmental_origin_state_summary.tsv	3077
Table S52	Table_S52_developmental_origin_branch_metrics.tsv	Developmental-origin branch metrics	Reader-facing supplementary controls	Supporting result	2_read_for_supplementary_figures	Stage split, granule specificity and developmental-origin controls	Supports Supplementary Figures S1-S4 and the argument against a recent common granule progenitor.	Supplementary Figure S4	Branch-level early-to-late metrics for the developmental-origin audit.	Project/results/developmental_origin_divergence_audit_branch_metrics.tsv	Project/manuscript/Supplementary tables/Table_S52_developmental_origin_branch_metrics.tsv	2462
Table S53	Table_S53_developmental_origin_units.tsv	Developmental-origin module units	Reader-facing supplementary controls	Supporting result	2_read_for_supplementary_figures	Stage split, granule specificity and developmental-origin controls	Supports Supplementary Figures S1-S4 and the argument against a recent common granule progenitor.	Supplementary Figure S4	Group-level module scoring units for the developmental-origin audit.	Project/results/developmental_origin_divergence_audit_units.tsv	Project/manuscript/Supplementary tables/Table_S53_developmental_origin_units.tsv	85725
Table S54	Table_S54_epigenomic_extension_candidate_resources.tsv	Epigenomic extension candidate resources	Supplementary Data archive	Archive/provenance	3_machine_readable_archive	Regulatory-compatibility extension	Retain as machine-readable regulatory-resource, feature-manifest, and sensitivity-analysis support rather than as primary evidence.	Future epigenomic extension	Candidate matched or comparable scATAC/multiome/spatial epigenomic resources for adding a regulatory-compatibility layer.	Project/results/epigenomic_extension_candidate_resources.tsv	Project/manuscript/Supplementary tables/Table_S54_epigenomic_extension_candidate_resources.tsv	5603
Table S55	Table_S55_epigenomic_regulatory_targets.tsv	Epigenomic regulatory targets	Supplementary Data archive	Archive/provenance	3_machine_readable_archive	Regulatory-compatibility extension	Retain as machine-readable regulatory-resource, feature-manifest, and sensitivity-analysis support rather than as primary evidence.	Future epigenomic extension	Regulatory target genes/modules for promoter, enhancer, methylation, and motif support in matched or comparable epigenomic datasets.	Project/results/epigenomic_extension_regulatory_targets.tsv	Project/manuscript/Supplementary tables/Table_S55_epigenomic_regulatory_targets.tsv	111998
Table S56	Table_S56_integrative_model_term_specification.tsv	Integrative model term specification	Supplementary Data archive	Archive/provenance	3_machine_readable_archive	Regulatory-compatibility extension	Retain as machine-readable regulatory-resource, feature-manifest, and sensitivity-analysis support rather than as primary evidence.	Future epigenomic extension	Single-equation model terms, data sources, current fitting status, and recommended next actions.	Project/results/integrative_granule_model_term_specification.tsv	Project/manuscript/Supplementary tables/Table_S56_integrative_model_term_specification.tsv	3583
Table S57	Table_S57_epigenomic_target_summary.tsv	Epigenomic target summary	Supplementary Data archive	Archive/provenance	3_machine_readable_archive	Regulatory-compatibility extension	Retain as machine-readable regulatory-resource, feature-manifest, and sensitivity-analysis support rather than as primary evidence.	Future epigenomic extension	Compact summary of epigenomic target rows by source, model term, priority, and GSE268609 feature coverage.	Project/results/epigenomic_extension_target_summary.tsv	Project/manuscript/Supplementary tables/Table_S57_epigenomic_target_summary.tsv	669
Table S58	Table_S58_gse268609_epigenomic_peak_targets.tsv	GSE268609 epigenomic peak targets	Supplementary Data archive	Archive/provenance	3_machine_readable_archive	Regulatory-compatibility extension	Retain as machine-readable regulatory-resource, feature-manifest, and sensitivity-analysis support rather than as primary evidence.	Future epigenomic extension	Nearby ATAC peak feature rows mapped to regulatory target genes within gene body plus 100 kb.	Project/results/gse268609_epigenomic_peak_targets.tsv	Project/manuscript/Supplementary tables/Table_S58_gse268609_epigenomic_peak_targets.tsv	759646
Table S59	Table_S59_gse268609_epigenomic_peak_gene_summary.tsv	GSE268609 epigenomic peak gene summary	Supplementary Data archive	Archive/provenance	3_machine_readable_archive	Regulatory-compatibility extension	Retain as machine-readable regulatory-resource, feature-manifest, and sensitivity-analysis support rather than as primary evidence.	Future epigenomic extension	Gene-level nearby ATAC peak counts for future selective GSE268609 epigenomic extraction.	Project/results/gse268609_epigenomic_peak_gene_summary.tsv	Project/manuscript/Supplementary tables/Table_S59_gse268609_epigenomic_peak_gene_summary.tsv	30705
Table S60	Table_S60_gse268609_epigenomic_selective_extraction_manifest.tsv	GSE268609 epigenomic selective extraction manifest	Supplementary Data archive	Archive/provenance	3_machine_readable_archive	Regulatory-compatibility extension	Retain as machine-readable regulatory-resource, feature-manifest, and sensitivity-analysis support rather than as primary evidence.	Future epigenomic extension	Target gene-expression and nearby ATAC peak feature rows for selective matrix extraction.	Project/results/gse268609_epigenomic_selective_extraction_manifest.tsv	Project/manuscript/Supplementary tables/Table_S60_gse268609_epigenomic_selective_extraction_manifest.tsv	586212
Table S61	Table_S61_gse322785_cerebellar_multiome_sample_metadata.tsv	GSE322785 cerebellar multiome sample metadata	Supplementary Data archive	Archive/provenance	3_machine_readable_archive	Regulatory-compatibility extension	Retain as machine-readable regulatory-resource, feature-manifest, and sensitivity-analysis support rather than as primary evidence.	Future epigenomic extension	Parsed GEO sample metadata for the adult primate cerebellar cortex multiome resource.	Project/results/gse322785_cerebellar_multiome_sample_metadata.tsv	Project/manuscript/Supplementary tables/Table_S61_gse322785_cerebellar_multiome_sample_metadata.tsv	8713
