dataset	tier	status	region	species	modality	role	rationale	next_action
GSE242688	supporting_spatial_proteomics	downloaded	hippocampus_or_cerebellum_spatial	mouse	spatial_transcriptomics_proteomics	spatial/protein validation	Spot/proteomics-linked data should be analyzed separately from cell-level discovery statistics.	Keep as spot/protein support with separate statistics.
spatial_DG_lifespan	supporting_spatial_context	article_pdf_present;data_not_downloaded	dentate_gyrus	human	Visium_spatial_transcriptomics	human DG lifespan spatial context	Human spatial tissue-level resource; excellent context but not single-cell primary.	Use article and portal first; download Zenodo SpatialExperiment objects only if adding spatial layer.
GSE317381	supporting_spatial_context	not_downloaded	dentate_gyrus	human	spatial_annotation_transfer	human DG spatial annotation context	Annotation-transfer/spatial resource; not primary cell-level discovery.	Use as contextual spatial support if needed.
GSE150153	context	downloaded	organoid	human	10x_scRNA_seq	organoid granule-like context	Organoid comparison is biologically useful but not equivalent to in vivo DG/CB.	Keep as context; do not drive main claims.
Allen_WMB_taxonomy	reference_atlas	downloaded	whole_brain	mouse	taxonomy_metadata	cell-label and marker reference	Authoritative DG Glut, DG-PIR Ex IMN, and CB Granule Glut labels/markers.	Use for marker refinement and figure annotation.
Allen_Cell_Types_ephys	supporting_ephys_comparator	API_probe_cached	cortex_thalamus	human_mouse	whole_cell_current_clamp_NWB	intrinsic physiology calibration	Allen Cell Types has 2333 API rows and rich ephys features, but dentate/cerebellar structure probes returned 0 matches.	Use for comparator excitability calibration; do not treat as direct granule-cell evidence.
DANDI_000003	primary_DG_activity_validation	metadata_cached	hippocampus_dentate_context	mouse	extracellular_ephys_behavior_NWB	DG firing sparsity and behavior-linked coding	Best public activity source identified for dentate granule/mossy-cell physiology; includes Units, LFP, Position, and ElectricalSeries variables.	Download a small NWB subset first, verify unit identity conventions, then compute active fraction, firing sparsity, and population separation.
DANDI_000165	supporting_network_activity	metadata_cached	DG_CA3_CA1	mouse	extracellular_ephys_behavior_NWB	hippocampal network physiology context	DG/CA3/CA1 network recording resource with 572 files and 64 subjects; useful for state context, not pure granule-cell morphology/ephys.	Use only as supporting network-state context after DANDI_000003 is defined.
NeuroMorpho_DG_granule_morphometry	primary_DG_morphology_validation	API_probe_cached	dentate_gyrus	human_mouse_rat_other	neuron_reconstruction_morphometry	DG dendrite/stem/branch quantification	NeuroMorpho probe found 9672 dentate granule reconstructions, including 7649 mouse, 1532 rat, and 77 human matches.	Build filtered morphometry table and compare n_stems, n_branch, n_bifs, length, surface, and volume.
NeuroMorpho_cerebellar_granule_morphometry	supporting_CB_morphology_validation	API_probe_cached	cerebellum	human_other_limited_mouse_rat	neuron_reconstruction_morphometry	cerebellar granule morphology quantification	NeuroMorpho probe found 62 cerebellar granule reconstructions, including 5 human matches and 0 strict mouse/rat matches under the current query.	Use cautiously because the available strict cerebellar set is small and species-heterogeneous.
neuromorpho_granule_morphometry_validation	first_direct_morphology_validation	morphometry_sample_built	dentate_gyrus_cerebellum	human_mouse_rat_other	neuron_reconstruction_morphometry_validation	Morphology parameter validation	First-pass NeuroMorpho validation sampled 558 dentate granule reconstructions and all 62 strict-query cerebellar granule reconstructions; branch-count medians are close, but primary stems and dendritic length differ strongly.	Use to refine the model from one input-degree parameter into primary stems/claws plus dendritic-field complexity; refine filters before final manuscript statistics.
dandi_000003_activity_sparsity_pilot	first_direct_DG_activity_validation	pilot_nwb_downloaded	hippocampus_dentate_context	mouse	extracellular_ephys_behavior_NWB	Activity/sparsity pilot	Smallest DANDI 000003 NWB session was downloaded and parsed; 23 units were extracted, including 3 source-labeled granule cells with median firing rate 0.9131 Hz and median active 1 s-bin fraction 0.3943.	Use as feasibility and calibration evidence; extend across sessions and position/task epochs before making pattern-separation claims.
dandi_000003_spatial_pattern_pilot	first_position_linked_DG_spatial_validation	spatial_pilot_complete	hippocampus_dentate_context	mouse	extracellular_ephys_behavior_position_NWB	Spatial coding pilot	Downloaded DANDI 000003 pilot session supports awake-moving spatial maps; 3 labeled granule units show median spatial information 0.3098 bits/spike and active spatial-bin fraction 0.4634.	Use as feasibility layer; extend across sessions/task epochs before making pattern-separation claims.
dandi_000003_multisession_spatial_extension	first_six_session_local_DG_spatial_validation	multisession_spatial_complete	hippocampus_dentate_context	mouse	extracellular_ephys_behavior_position_NWB	Spatial coding and population-vector pilot	Six downloaded DANDI 000003 sessions support awake-moving spatial maps; 124 units include 26 labeled granule units across six granule-containing sessions, with pooled median spatial information 0.7800 bits/spike and active spatial-bin fraction 0.5489.	Use as current DANDI spatial validation layer; stop at current six sessions for the manuscript unless a figure-specific or review-specific need requires more physiology; add task/trajectory-specific separation before making final pattern-separation claims.
